Input velocities or energy: 
Starting time t0, initial position (r0, phi0), initial specific energy and ang. momentum (E, L), and final t point t1: 
Read: t0 = 0 r0 = 10 phi0 = -0.75 E_ini = 0 L_ini = 1 sign of radial velocity = -1 t1 = 100
Calculated vr0 and vphi0: t0=0 r0=10 phi0=-0.75 vr0=-0.43589 vphi0=0.01 t1=100
Number of time steps n = 10001
Initial energy, angular momentum, and eccentricity are E_ini = -1.38778e-17, L_ini = 1, and eccen_ini = 1 
t 	 r 	 phi 	 vr 	 vphi 	 x(t) 	 y(t) 	 E(t) 	 L(t) 	 (E_ini - E(t)) / E_ini 	 (L_ini - L(t)) / L_ini 	 (eccen_ini - eccen_t) / eccen_ini 
6.818000000000001e+01 	 2.256979267216434e+01 	 4.783367184746542e+00 	 2.943652672181280e-01 	 1.963111019805365e-03 	 1.600618605471260e+00 	 -2.251296429491910e+01 	 2.095118717404532e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.819000000000000e+01 	 2.257273623103791e+01 	 4.783386813296752e+00 	 2.943465082935678e-01 	 1.962599060950825e-03 	 1.601269312785641e+00 	 -2.251586901596167e+01 	 2.095118724343425e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960252208974225e-10 	 -2.095118745160107e-09 
6.820000000000000e+01 	 2.257567960234614e+01 	 4.783406436728537e+00 	 2.943277541473031e-01 	 1.962087334943650e-03 	 1.601920006177685e+00 	 -2.251877354123877e+01 	 2.095118724343425e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960252208974225e-10 	 -2.095118745160107e-09 
6.821000000000001e+01 	 2.257862278613678e+01 	 4.783426055044226e+00 	 2.943090047772051e-01 	 1.961575841632876e-03 	 1.602570685647204e+00 	 -2.252167787080171e+01 	 2.095118724343425e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.822000000000000e+01 	 2.258156578245760e+01 	 4.783445668246145e+00 	 2.942902601811465e-01 	 1.961064580867668e-03 	 1.603221351193967e+00 	 -2.252458200470179e+01 	 2.095118717404532e-09 	 1.000000000496026e+00 	 0.000000000000000e+00 	 -4.960256649866324e-10 	 -2.095118745160107e-09 
6.823000000000000e+01 	 2.258450859135631e+01 	 4.783465276336618e+00 	 2.942715203570012e-01 	 1.960553552497315e-03 	 1.603872002817780e+00 	 -2.252748594299027e+01 	 2.095118717404532e-09 	 1.000000000496026e+00 	 0.000000000000000e+00 	 -4.960258870312373e-10 	 -2.095118745160107e-09 
6.823999999999999e+01 	 2.258745121288064e+01 	 4.783484879317969e+00 	 2.942527853026446e-01 	 1.960042756371236e-03 	 1.604522640518442e+00 	 -2.253038968571841e+01 	 2.095118717404532e-09 	 1.000000000496026e+00 	 0.000000000000000e+00 	 -4.960258870312373e-10 	 -2.095118745160107e-09 
6.825000000000000e+01 	 2.259039364707826e+01 	 4.783504477192519e+00 	 2.942340550159535e-01 	 1.959532192338974e-03 	 1.605173264295728e+00 	 -2.253329323293744e+01 	 2.095118717404532e-09 	 1.000000000496026e+00 	 0.000000000000000e+00 	 -4.960256649866324e-10 	 -2.095118745160107e-09 
6.826000000000001e+01 	 2.259333589399684e+01 	 4.783524069962588e+00 	 2.942153294948057e-01 	 1.959021860250200e-03 	 1.605823874149449e+00 	 -2.253619658469853e+01 	 2.095118703526744e-09 	 1.000000000496026e+00 	 0.000000000000000e+00 	 -4.960256649866324e-10 	 -2.095118745160107e-09 
6.827000000000000e+01 	 2.259627795368403e+01 	 4.783543657630497e+00 	 2.941966087370809e-01 	 1.958511759954711e-03 	 1.606474470079410e+00 	 -2.253909974105288e+01 	 2.095118703526744e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.828000000000000e+01 	 2.259921982618745e+01 	 4.783563240198560e+00 	 2.941778927406596e-01 	 1.958001891302430e-03 	 1.607125052085392e+00 	 -2.254200270205164e+01 	 2.095118703526744e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
6.829000000000001e+01 	 2.260216151155470e+01 	 4.783582817669094e+00 	 2.941591815034240e-01 	 1.957492254143407e-03 	 1.607775620167211e+00 	 -2.254490546774594e+01 	 2.095118710465638e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960252208974225e-10 	 -2.095118745160107e-09 
6.830000000000000e+01 	 2.260510300983337e+01 	 4.783602390044414e+00 	 2.941404750232575e-01 	 1.956982848327817e-03 	 1.608426174324657e+00 	 -2.254780803818689e+01 	 2.095118703526744e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960254429420274e-10 	 -2.095118745160107e-09 
