Input velocities or energy: 
Starting time t0, initial position (r0, phi0), initial derivative (vr0, vphi0), and final t point t1: 
Read: t0=0 r0=10 phi0=0 vr0=0 vphi0=0.005 t1=200
Number of time steps n = 20001
Initial energy, angular momentum, and eccentricity are E_ini = -0.09875, L_ini = 0.5, and eccen_ini = 0.975 
t 	 r 	 phi 	 vr 	 vphi 	 x(t) 	 y(t) 	 E(t) 	 L(t) 	 (E_ini - E(t)) / E_ini 	 (L_ini - L(t)) / L_ini 	 (eccen_ini - eccen_t) / eccen_ini 
7.062000000000000e+01 	 1.001471824169127e+01 	 6.277776675500188e+00 	 1.043316942823132e-02 	 4.985373887170647e-03 	 1.001457176028659e+01 	 -5.416565825401035e-02 	 -9.855224998259851e-02 	 5.000059874377057e-01 	 2.002531821787275e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.063000000000000e+01 	 1.001482208730272e+01 	 6.277826528721310e+00 	 1.033595319451478e-02 	 4.985270499110226e-03 	 1.001467829229472e+01 	 -5.366695600946216e-02 	 -9.855224998259851e-02 	 5.000059874377059e-01 	 2.002531821787275e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.064000000000000e+01 	 1.001492496076176e+01 	 6.277876380913407e+00 	 1.023873894176062e-02 	 4.985168082089933e-03 	 1.001478382727499e+01 	 -5.316824842200667e-02 	 -9.855224998259851e-02 	 5.000059874377059e-01 	 2.002531821787275e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.065000000000001e+01 	 1.001502686208810e+01 	 6.277926232086189e+00 	 1.014152665127732e-02 	 4.985066636000533e-03 	 1.001488836524762e+01 	 -5.266953554145954e-02 	 -9.855224998259851e-02 	 5.000059874377059e-01 	 2.002531821787275e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.066000000000000e+01 	 1.001512779130127e+01 	 6.277976082249364e+00 	 1.004431630437543e-02 	 4.984966160733836e-03 	 1.001499190623262e+01 	 -5.217081741763926e-02 	 -9.855224998259851e-02 	 5.000059874377059e-01 	 2.002531821787275e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.067000000000000e+01 	 1.001522774842060e+01 	 6.278025931412639e+00 	 9.947107882367539e-03 	 4.984866656182691e-03 	 1.001509445024985e+01 	 -5.167209410034064e-02 	 -9.855224998259851e-02 	 5.000059874377057e-01 	 2.002531821787275e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.068000000000001e+01 	 1.001532673346527e+01 	 6.278075779585722e+00 	 9.849901366568286e-03 	 4.984768122240988e-03 	 1.001519599731894e+01 	 -5.117336563936157e-02 	 -9.855224998259851e-02 	 5.000059874377057e-01 	 2.002531821787275e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.069000000000000e+01 	 1.001542474645423e+01 	 6.278125626778319e+00 	 9.752696738294311e-03 	 4.984670558803657e-03 	 1.001529654745933e+01 	 -5.067463208450323e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.070000000000000e+01 	 1.001552178740626e+01 	 6.278175473000133e+00 	 9.655493978864246e-03 	 4.984573965766669e-03 	 1.001539610069030e+01 	 -5.017589348556132e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.071000000000001e+01 	 1.001561785633997e+01 	 6.278225318260869e+00 	 9.558293069598694e-03 	 4.984478343027034e-03 	 1.001549465703091e+01 	 -4.967714989231727e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.072000000000000e+01 	 1.001571295327376e+01 	 6.278275162570228e+00 	 9.461093991820211e-03 	 4.984383690482804e-03 	 1.001559221650003e+01 	 -4.917840135456513e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.073000000000000e+01 	 1.001580707822585e+01 	 6.278325005937912e+00 	 9.363896726853286e-03 	 4.984290008033066e-03 	 1.001568877911635e+01 	 -4.867964792208498e-02 	 -9.855224998259851e-02 	 5.000059874377057e-01 	 2.002531821787275e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.073999999999999e+01 	 1.001590023121428e+01 	 6.278374848373621e+00 	 9.266701256024317e-03 	 4.984197295577950e-03 	 1.001578434489837e+01 	 -4.818088964465200e-02 	 -9.855224998259852e-02 	 5.000059874377056e-01 	 2.002531821787135e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.075000000000000e+01 	 1.001599241225689e+01 	 6.278424689887056e+00 	 9.169507560661596e-03 	 4.984105553018624e-03 	 1.001587891386438e+01 	 -4.768212657203657e-02 	 -9.855224998259851e-02 	 5.000059874377057e-01 	 2.002531821787275e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.076000000000001e+01 	 1.001608362137135e+01 	 6.278474530487914e+00 	 9.072315622095286e-03 	 4.984014780257293e-03 	 1.001597248603250e+01 	 -4.718335875401337e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.077000000000000e+01 	 1.001617385857512e+01 	 6.278524370185893e+00 	 8.975125421657406e-03 	 4.983924977197201e-03 	 1.001606506142064e+01 	 -4.668458624034365e-02 	 -9.855224998259851e-02 	 5.000059874377059e-01 	 2.002531821787275e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.078000000000000e+01 	 1.001626312388551e+01 	 6.278574208990690e+00 	 8.877936940681804e-03 	 4.983836143742632e-03 	 1.001615664004653e+01 	 -4.618580908079327e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.079000000000001e+01 	 1.001635141731961e+01 	 6.278624046912000e+00 	 8.780750160504145e-03 	 4.983748279798904e-03 	 1.001624722192772e+01 	 -4.568702732512384e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.080000000000000e+01 	 1.001643873889433e+01 	 6.278673883959518e+00 	 8.683565062461884e-03 	 4.983661385272377e-03 	 1.001633680708153e+01 	 -4.518824102309293e-02 	 -9.855224998259851e-02 	 5.000059874377059e-01 	 2.002531821787275e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.081000000000000e+01 	 1.001652508862640e+01 	 6.278723720142937e+00 	 8.586381627894249e-03 	 4.983575460070445e-03 	 1.001642539552513e+01 	 -4.468945022444531e-02 	 -9.855224998259851e-02 	 5.000059874377060e-01 	 2.002531821787275e-03 	 -1.197487541193532e-05 	 -5.138321675018504e-05 
7.082000000000001e+01 	 1.001661046653237e+01 	 6.278773555471949e+00 	 8.489199838142227e-03 	 4.983490504101540e-03 	 1.001651298727548e+01 	 -4.419065497893972e-02 	 -9.855224998259851e-02 	 5.000059874377059e-01 	 2.002531821787275e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.083000000000000e+01 	 1.001669487262858e+01 	 6.278823389956249e+00 	 8.392019674548534e-03 	 4.983406517275133e-03 	 1.001659958234934e+01 	 -4.369185533631352e-02 	 -9.855224998259852e-02 	 5.000059874377059e-01 	 2.002531821787135e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.084000000000000e+01 	 1.001677830693122e+01 	 6.278873223605525e+00 	 8.294841118457604e-03 	 4.983323499501728e-03 	 1.001668518076331e+01 	 -4.319305134630948e-02 	 -9.855224998259852e-02 	 5.000059874377059e-01 	 2.002531821787135e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.085000000000001e+01 	 1.001686076945625e+01 	 6.278923056429469e+00 	 8.197664151215563e-03 	 4.983241450692868e-03 	 1.001676978253375e+01 	 -4.269424305866698e-02 	 -9.855224998259852e-02 	 5.000059874377059e-01 	 2.002531821787135e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.086000000000000e+01 	 1.001694226021947e+01 	 6.278972888437769e+00 	 8.100488754170214e-03 	 4.983160370761131e-03 	 1.001685338767688e+01 	 -4.219543052312225e-02 	 -9.855224998259854e-02 	 5.000059874377057e-01 	 2.002531821786994e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.087000000000000e+01 	 1.001702277923650e+01 	 6.279022719640114e+00 	 8.003314908671011e-03 	 4.983080259620133e-03 	 1.001693599620870e+01 	 -4.169661378940841e-02 	 -9.855224998259854e-02 	 5.000059874377059e-01 	 2.002531821786994e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.088000000000000e+01 	 1.001710232652276e+01 	 6.279072550046191e+00 	 7.906142596069050e-03 	 4.983001117184522e-03 	 1.001701760814501e+01 	 -4.119779290725570e-02 	 -9.855224998259852e-02 	 5.000059874377059e-01 	 2.002531821787135e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.089000000000000e+01 	 1.001718090209347e+01 	 6.279122379665687e+00 	 7.808971797717037e-03 	 4.982922943369984e-03 	 1.001709822350145e+01 	 -4.069896792639154e-02 	 -9.855224998259852e-02 	 5.000059874377059e-01 	 2.002531821787135e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.090000000000001e+01 	 1.001725850596370e+01 	 6.279172208508287e+00 	 7.711802494969278e-03 	 4.982845738093242e-03 	 1.001717784229344e+01 	 -4.020013889653183e-02 	 -9.855224998259854e-02 	 5.000059874377057e-01 	 2.002531821786994e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.091000000000000e+01 	 1.001733513814830e+01 	 6.279222036583677e+00 	 7.614634669181652e-03 	 4.982769501272051e-03 	 1.001725646453623e+01 	 -3.970130586739893e-02 	 -9.855224998259852e-02 	 5.000059874377059e-01 	 2.002531821787135e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.092000000000000e+01 	 1.001741079866194e+01 	 6.279271863901541e+00 	 7.517468301711598e-03 	 4.982694232825202e-03 	 1.001733409024487e+01 	 -3.920246888871277e-02 	 -9.855224998259854e-02 	 5.000059874377057e-01 	 2.002531821786994e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.093000000000001e+01 	 1.001748548751913e+01 	 6.279321690471561e+00 	 7.420303373918088e-03 	 4.982619932672521e-03 	 1.001741071943420e+01 	 -3.870362801019110e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.094000000000000e+01 	 1.001755920473416e+01 	 6.279371516303422e+00 	 7.323139867161614e-03 	 4.982546600734866e-03 	 1.001748635211890e+01 	 -3.820478328153184e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.095000000000000e+01 	 1.001763195032115e+01 	 6.279421341406803e+00 	 7.225977762804164e-03 	 4.982474236934134e-03 	 1.001756098831345e+01 	 -3.770593475244874e-02 	 -9.855224998259854e-02 	 5.000059874377057e-01 	 2.002531821786994e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.096000000000001e+01 	 1.001770372429402e+01 	 6.279471165791388e+00 	 7.128817042209206e-03 	 4.982402841193253e-03 	 1.001763462803212e+01 	 -3.720708247264488e-02 	 -9.855224998259854e-02 	 5.000059874377056e-01 	 2.002531821786994e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.097000000000000e+01 	 1.001777452666654e+01 	 6.279520989466854e+00 	 7.031657686741662e-03 	 4.982332413436185e-03 	 1.001770727128902e+01 	 -3.670822649183062e-02 	 -9.855224998259855e-02 	 5.000059874377055e-01 	 2.002531821786854e-03 	 -1.197487541104714e-05 	 -5.138321675018504e-05 
7.098000000000000e+01 	 1.001784435745225e+01 	 6.279570812442882e+00 	 6.934499677767897e-03 	 4.982262953587926e-03 	 1.001777891809804e+01 	 -3.620936685969700e-02 	 -9.855224998259854e-02 	 5.000059874377055e-01 	 2.002531821786994e-03 	 -1.197487541104714e-05 	 -5.138321675018504e-05 
7.098999999999999e+01 	 1.001791321666452e+01 	 6.279620634729151e+00 	 6.837342996655691e-03 	 4.982194461574505e-03 	 1.001784956847289e+01 	 -3.571050362594261e-02 	 -9.855224998259855e-02 	 5.000059874377055e-01 	 2.002531821786854e-03 	 -1.197487541104714e-05 	 -5.138321675018504e-05 
7.100000000000000e+01 	 1.001798110431655e+01 	 6.279670456335340e+00 	 6.740187624774225e-03 	 4.982126937322986e-03 	 1.001791922242710e+01 	 -3.521163684025595e-02 	 -9.855224998259854e-02 	 5.000059874377056e-01 	 2.002531821786994e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.101000000000001e+01 	 1.001804802042132e+01 	 6.279720277271124e+00 	 6.643033543494060e-03 	 4.982060380761463e-03 	 1.001798787997399e+01 	 -3.471276655233330e-02 	 -9.855224998259855e-02 	 5.000059874377056e-01 	 2.002531821786854e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.102000000000000e+01 	 1.001811396499165e+01 	 6.279770097546180e+00 	 6.545880734187115e-03 	 4.981994791819067e-03 	 1.001805554112670e+01 	 -3.421389281186116e-02 	 -9.855224998259854e-02 	 5.000059874377056e-01 	 2.002531821786994e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.103000000000000e+01 	 1.001817893804018e+01 	 6.279819917170185e+00 	 6.448729178226650e-03 	 4.981930170425958e-03 	 1.001812220589819e+01 	 -3.371501566852522e-02 	 -9.855224998259855e-02 	 5.000059874377056e-01 	 2.002531821786854e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.104000000000001e+01 	 1.001824293957933e+01 	 6.279869736152813e+00 	 6.351578856987243e-03 	 4.981866516513330e-03 	 1.001818787430119e+01 	 -3.321613517201053e-02 	 -9.855224998259855e-02 	 5.000059874377055e-01 	 2.002531821786854e-03 	 -1.197487541104714e-05 	 -5.138321675018504e-05 
7.105000000000000e+01 	 1.001830596962137e+01 	 6.279919554503739e+00 	 6.254429751844777e-03 	 4.981803830013410e-03 	 1.001825254634829e+01 	 -3.271725137199274e-02 	 -9.855224998259855e-02 	 5.000059874377056e-01 	 2.002531821786854e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.106000000000000e+01 	 1.001836802817836e+01 	 6.279969372232638e+00 	 6.157281844176412e-03 	 4.981742110859457e-03 	 1.001831622205184e+01 	 -3.221836431814713e-02 	 -9.855224998259854e-02 	 5.000059874377056e-01 	 2.002531821786994e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.107000000000001e+01 	 1.001842911526219e+01 	 6.280019189349181e+00 	 6.060135115360571e-03 	 4.981681358985761e-03 	 1.001837890142404e+01 	 -3.171947406015765e-02 	 -9.855224998259854e-02 	 5.000059874377056e-01 	 2.002531821786994e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.108000000000000e+01 	 1.001848923088454e+01 	 6.280069005863042e+00 	 5.962989546776920e-03 	 4.981621574327646e-03 	 1.001844058447688e+01 	 -3.122058064769041e-02 	 -9.855224998259854e-02 	 5.000059874377056e-01 	 2.002531821786994e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.109000000000000e+01 	 1.001854837505693e+01 	 6.280118821783891e+00 	 5.865845119806344e-03 	 4.981562756821464e-03 	 1.001850127122216e+01 	 -3.072168413042046e-02 	 -9.855224998259854e-02 	 5.000059874377057e-01 	 2.002531821786994e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.110000000000001e+01 	 1.001860654779068e+01 	 6.280168637121402e+00 	 5.768701815830933e-03 	 4.981504906404603e-03 	 1.001856096167148e+01 	 -3.022278455801415e-02 	 -9.855224998259852e-02 	 5.000059874377057e-01 	 2.002531821787135e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.111000000000000e+01 	 1.001866374909693e+01 	 6.280218451885243e+00 	 5.671559616233958e-03 	 4.981448023015479e-03 	 1.001861965583627e+01 	 -2.972388198013819e-02 	 -9.855224998259854e-02 	 5.000059874377057e-01 	 2.002531821786994e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.112000000000000e+01 	 1.001871997898662e+01 	 6.280268266085085e+00 	 5.574418502399855e-03 	 4.981392106593540e-03 	 1.001867735372776e+01 	 -2.922497644645089e-02 	 -9.855224998259854e-02 	 5.000059874377057e-01 	 2.002531821786994e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.113000000000000e+01 	 1.001877523747053e+01 	 6.280318079730598e+00 	 5.477278455714202e-03 	 4.981337157079266e-03 	 1.001873405535697e+01 	 -2.872606800662007e-02 	 -9.855224998259852e-02 	 5.000059874377056e-01 	 2.002531821787135e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.114000000000000e+01 	 1.001882952455923e+01 	 6.280367892831450e+00 	 5.380139457563701e-03 	 4.981283174414168e-03 	 1.001878976073477e+01 	 -2.822715671029652e-02 	 -9.855224998259854e-02 	 5.000059874377056e-01 	 2.002531821786994e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.115000000000001e+01 	 1.001888284026312e+01 	 6.280417705397308e+00 	 5.283001489336159e-03 	 4.981230158540786e-03 	 1.001884446987179e+01 	 -2.772824260714979e-02 	 -9.855224998259854e-02 	 5.000059874377056e-01 	 2.002531821786994e-03 	 -1.197487541126918e-05 	 -5.138321675018504e-05 
7.116000000000000e+01 	 1.001893518459239e+01 	 6.280467517437843e+00 	 5.185864532420466e-03 	 4.981178109402693e-03 	 1.001889818277852e+01 	 -2.722932574682374e-02 	 -9.855224998259854e-02 	 5.000059874377057e-01 	 2.002531821786994e-03 	 -1.197487541149123e-05 	 -5.138321675018504e-05 
7.117000000000000e+01 	 1.001898655755707e+01 	 6.280517328962719e+00 	 5.088728568206579e-03 	 4.981127026944490e-03 	 1.001895089946522e+01 	 -2.673040617897234e-02 	 -9.855224998259852e-02 	 5.000059874377059e-01 	 2.002531821787135e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.118000000000001e+01 	 1.001903695916700e+01 	 6.280567139981604e+00 	 4.991593578085499e-03 	 4.981076911111810e-03 	 1.001900261994196e+01 	 -2.623148395325091e-02 	 -9.855224998259852e-02 	 5.000059874377059e-01 	 2.002531821787135e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.119000000000000e+01 	 1.001908638943182e+01 	 6.280616950504163e+00 	 4.894459543449252e-03 	 4.981027761851316e-03 	 1.001905334421866e+01 	 -2.573255911930736e-02 	 -9.855224998259852e-02 	 5.000059874377059e-01 	 2.002531821787135e-03 	 -1.197487541171327e-05 	 -5.138321675018504e-05 
7.120000000000000e+01 	 1.001913484836099e+01 	 6.280666760540062e+00 	 4.797326445690872e-03 	 4.980979579110700e-03 	 1.001910307230500e+01 	 -2.523363172678230e-02 	 -9.855224998259851e-02 	 5.000059874377060e-01 	 2.002531821787275e-03 	 -1.197487541193532e-05 	 -5.138321675018504e-05 
7.121000000000001e+01 	 1.001918233596380e+01 	 6.280716570098966e+00 	 4.700194266204379e-03 	 4.980932362838686e-03 	 1.001915180421050e+01 	 -2.473470182532701e-02 	 -9.855224998259852e-02 	 5.000059874377060e-01 	 2.002531821787135e-03 	 -1.197487541193532e-05 	 -5.138321675018504e-05 
